编号,肺活量,体重指数(BMI),50米跑,1000米跑,立定跳远,引体向上,坐位体前屈,总分
0112e15d-e95c-4bec-97e3-199efca10cd0,80,100,74,74,72,20,68,72.6
013f64db-e7ed-4265-97f9-f1b14323b9dc,100,60,80,72,66,50,76,73.6
01ad84e6-39f2-46cc-8017-892bdadec164,85,100,95,72,76,40,74,80.2
01f7df25-b04d-418c-8a2b-dcd35c262f86,100,80,74,70,66,0,78,70.2
05a4413e-23aa-427e-ba87-a8fb14e4f672,100,60,62,72,60,0,66,63.4
09b2feb9-e31f-4195-843e-cf490e08fa68,85,100,76,62,60,76,68,75.8
0b3e587b-bb49-408f-97e5-1d548a5c08cd,85,100,78,62,64,0,76,69.8
0d0a2181-fe95-4331-940c-9f860e6bfb67,85,100,70,50,62,20,76,67.6
0e307a3b-c4ff-4042-abd2-ca3240ab4b7e,80,100,90,80,76,20,68,77.4
0ec5920c-e852-4229-83da-1e405fe36fe7,74,100,78,74,60,10,64,69.9
10f43b6a-142a-401c-b1c9-4c4c9cb5ea17,90,100,100,76,80,20,72,80.9
157ba765-445c-4536-9cb9-ee02bbc6e8a9,68,80,78,68,66,10,70,66
157dcb42-5f67-44b4-8bc7-2d011701d5d3,85,100,68,62,60,0,72,67
15e60583-ac9d-41c9-84ff-7518fab18d38,100,60,74,74,50,0,60,64.6
15ff7577-e7c3-4a33-801b-5b58c958eec9,95,100,80,76,80,10,64,75.8
16df5d83-06bd-48f6-a937-c4a4f264acab,85,100,85,70,76,40,68,77.2
16df6758-f77d-4871-a350-4b293070997c,100,60,68,72,50,0,72,64.2
1c664a16-481f-49d6-b932-2630bdc14255,76,80,74,70,60,0,62,64.4
1d17303e-18fe-4034-ac80-822e835aee50,100,80,100,76,85,30,68,80.5
231db552-2d30-4b0e-b740-a9a4fc4c8403,100,100,78,70,76,0,70,74.2
23d8f9f3-e148-42cc-88b2-28abdd3bc95a,78,100,80,64,62,10,0,62.7
243f5cc8-308c-402d-8ecd-a1de00257c20,100,60,50,62,50,30,60,60.4
2659d120-7ec4-4037-9eff-c0b6687ed427,100,100,80,76,66,60,72,81
26aea31c-5d6c-4973-ab52-029ae034047b,74,100,80,74,76,10,64,71.9
278ca768-35ba-4507-abd6-6affd193ed61,85,60,72,62,60,0,76,62.1
28a2e32c-db4b-4049-bd20-cd6ae7ec41f5,90,100,90,70,95,60,60,82
28f18934-fb98-42a7-b03e-2c6ee4e8e896,100,60,74,60,64,0,76,64.8
2b41dc57-d16e-451b-971e-0c4fe3eaefed,90,100,78,78,64,40,30,73.1
2bf29f5f-edce-44ce-b83d-16b110a99b4c,60,100,85,90,60,64,90,80.4
2cae4fca-f3db-4c6a-ac8b-a3606bf418ea,100,60,78,76,62,0,64,67.4
2da79a0b-6e40-4937-ab29-fbc1a4af46d3,0,0,0,0,0,0,0,
2f2fc987-6060-44a1-aa3d-a35618b5107f,100,80,72,74,100,20,74,75.6
38c38648-5e62-4d91-914d-f292c6fde4f7,70,80,80,72,66,0,70,66.5
39bff6b1-96ff-4388-b9fd-4225b9eeea55,85,100,100,74,90,30,20,76.5
3b2e0bb3-bf21-47a6-a3dd-fdd95b137a54,85,100,78,50,50,0,68,65.2
3b32ff32-c850-4bad-9675-151bb2e69fdb,85,100,78,74,74,30,76,76.2
3d9f4827-4463-4349-91c2-705d243d828a,74,100,95,80,80,72,64,82.7
3f45a292-1f26-4f9f-a2fa-4d72f5619304,0,0,0,0,0,0,0,
4334ec77-9a08-4ee9-b9a6-29b633c1d19c,80,100,100,90,80,68,80,87.8
442b9456-9efb-4404-92d9-4679e62e17c4,100,100,78,72,66,0,80,74.6
475070a6-3ae3-40f2-89a3-ad75f3482909,72,100,90,72,72,0,68,72.2
481b3e91-89ec-4db1-a4fc-55311423c108,100,60,74,50,60,0,60,60.8
486b647a-555b-4524-a346-cd629fc6f48d,85,100,100,78,76,95,62,86.7
491811b2-ea8b-4933-8d2c-0fc23958be6d,78,100,70,50,64,0,80,65.1
4f4f6ffc-4e4a-41ca-8a95-4459e03834fa,90,60,76,50,60,0,64,60.1
50914f4e-5d87-4d96-8f3b-3f033e8b6e6a,100,80,72,72,72,20,10,66
51add60f-0f0d-49b6-9db4-bc4861834a8b,85,60,74,50,62,20,68,61.5
5305d969-0a2f-431f-88fc-7b6da713fd1d,85,100,74,76,72,0,50,70
54e6315c-ba1e-479b-8dfb-14455df57f4f,80,100,90,85,72,10,64,76.6
54f030a3-c559-4e9b-9e25-24e2c91c94a5,80,100,90,72,72,0,64,73
55aa2c9f-718f-46a7-b4e8-fd8ba6d4ebed,90,100,68,72,66,10,72,71.3
606e65ab-322b-4f32-98f3-e9ad4e6e7a76,90,60,76,40,64,10,70,60.1
628029cc-4c08-4a9c-8660-53bf75a715a5,74,100,76,78,62,0,40,67.1
6430bfcf-4324-4f9c-948d-4ca0d19c64fc,78,60,100,78,66,10,68,70.7
64b6c6f1-ac2e-43f9-b8fd-24794ce8f5e2,74,100,100,78,72,10,70,76.9
6521132f-9aaf-465a-a16c-52c9c2d1a3a7,100,100,100,80,76,50,64,85
65ed3961-7c0e-4576-a112-a604d4bd710e,100,80,80,64,76,10,60,70.4
6a034367-763a-4dff-bcb4-011263aef5ef,100,100,78,78,80,40,70,80.2
6ab0f783-01b4-425e-bdef-ed3b9538b66e,80,100,76,74,66,10,66,71.2
6c9e7aba-525f-4485-947e-5af7ea0accdb,78,100,100,85,80,72,60,84.9
6d086711-587f-4b35-8294-ca0b28a32cf7,70,100,78,64,66,0,0,60.5
7610521d-d6de-4150-bf22-6bd44ccacee9,74,100,90,80,76,20,0,69.7
79abbd48-3bed-4f1c-aba6-7853d49b6f8e,85,100,95,80,64,10,62,76.3
7c0fa64e-1d81-4494-b033-fc752b9ac3f4,68,100,90,50,90,64,76,76.2
7d4c603c-5d76-4742-8ca7-52c841a8c792,85,80,70,40,62,30,78,63.8
80cc7682-d578-41ff-85f2-0d6912c73861,100,100,74,78,76,0,72,75.2
814cf86b-c116-4d32-999e-d1312091deaf,74,100,100,85,90,90,72,88.3
82ef6b04-f809-4653-be2e-fca33c38beba,76,100,78,72,66,0,70,70
8360d774-8ab2-47fa-a45d-17b949fc941d,76,100,66,66,66,0,78,67.2
85f1c66c-b469-4742-b5b8-3734b5f60add,100,100,85,74,80,30,72,80
87822e4a-560f-4526-b966-69c9e6978edf,100,100,100,76,66,10,80,80.8
8941c109-d654-4966-95c7-b7b67008a65e,100,80,90,80,80,10,78,77.8
8bd16fb9-e9c3-426e-8647-882439c598ed,100,100,100,100,95,80,72,95.7
8e087abc-f5c2-4862-81b3-d6e7600b3c5b,100,100,90,68,76,40,70,80.2
91e4e418-b142-450e-bb0f-d0f63e4dbc82,0,0,0,0,0,0,0,
93270645-7fe6-46ec-b9ad-a72507b2991b,80,100,95,80,80,10,72,78.2
939fbd5a-04b1-4ec5-9e41-6110c9a7ec79,100,100,85,80,76,30,74,81
9478e12b-541a-4940-b593-4ae42a67954f,95,80,70,60,60,0,74,65.7
95dc6da0-c4e3-4cb4-9820-3a6142fa41a5,100,100,100,76,80,64,62,85.8
983ee9d2-1847-468b-ae7f-48cd337b23a4,95,100,80,80,72,10,40,73.5
98586456-51a2-4fa5-ad3c-82e54120dc1e,85,100,100,100,90,0,64,83.2
9d77fc8f-19d1-4cb8-8b7b-1c4889d344cd,100,100,95,78,72,72,76,86.6
a17ceef3-18fe-439c-b4c8-44d1ce2bc40e,90,100,76,64,62,10,60,69.7
a565b34d-2dc2-4be2-9a27-136b3455d6e4,100,80,85,50,66,0,74,68
a7719714-364e-44a6-bd24-b6486a894b14,100,80,80,78,62,0,80,72.8
a9e0e509-6a69-4ceb-89ca-1bec8dc11d23,100,80,76,62,70,10,76,70.2
aa19f62c-b83d-4c41-aea3-23fc5259c13e,100,60,90,50,70,0,70,66
aba2d0a5-5ff2-4d2a-afc7-693a67aef880,100,100,90,76,80,30,66,80.8
acfcfac8-b2b6-4329-9f79-ef5b23cad7ec,90,80,76,70,50,0,62,65.9
ad90582b-8fb1-425e-b782-36dae197916a,85,100,90,80,72,0,80,77
adf179a2-23ac-457d-88fa-bf000e182d1a,100,100,100,80,90,80,0,83
afa51145-5de8-4ab4-838c-5ae60ec30dc4,90,100,72,60,60,0,68,67.7
b0fb3c8a-ff80-4e0a-b608-3285ac3ca206,100,60,80,68,76,64,74,75
b485bcea-4146-4580-a8d8-12d98786e5ed,90,100,76,50,72,10,68,68.7
b7e3e863-90af-46e8-89a4-b98dbcc1ba93,100,80,78,66,66,0,66,69
b8932090-ca23-4263-a320-b159460421f1,100,100,76,74,60,0,64,72.4
bcbb6490-6779-4ad7-9a4d-7c06359b8ebf,76,100,95,70,76,20,64,75.4
c16d7453-fdc7-4eb4-81c4-00f6d7de9583,85,100,72,76,62,0,66,70.2
c1efdcec-343b-4e47-8732-524f99d7b0be,100,80,76,60,62,30,64,69.8
c26f4d75-6742-44ac-a694-670c9ccfd90f,76,100,100,78,72,30,80,80.2
c2a89a5b-9d3b-4f76-ae51-542b9c2c80de,80,100,95,76,80,40,20,75.2
c3ed1fb6-9c76-4ece-9ec7-0ad750726a1e,85,60,100,72,72,10,66,71
c49cebb2-ac1c-44b1-aa8c-d2c9dee1f535,0,0,0,0,0,0,0,
c505f1f5-f1c3-4f84-a88c-17b121d71276,74,80,100,80,76,72,66,80.5
c60280ba-2b7b-4a57-87ad-d3c3f17b2535,100,100,78,70,66,10,80,75.2
cd325520-ba58-4203-97d4-f684f76bf4e5,100,100,100,85,100,60,76,90.6
d65cd985-d8a1-4bda-803d-8ff60b207f22,100,80,74,74,60,0,85,71.1
d793baa3-edd8-4674-9601-29a9953c7ec2,100,100,95,76,80,0,95,81.7
d8970644-0724-4b53-b0fc-5a2bda9d6c72,80,100,76,74,72,10,62,71.4
def97a56-94c9-4eab-b564-4123e78b8597,100,80,76,76,60,0,70,70.4
e1f4c023-fd48-4633-a2a3-53e8ba1878c4,0,0,0,0,0,0,0,
e465dcfb-993b-4677-bf70-f8c5a133293d,95,60,68,66,66,0,72,63.9
e5b55da7-bd55-47f6-bf05-4962d5cdfc1e,100,100,78,74,62,20,62,74.8
e867f254-52ce-4dbb-9aff-ac89293dba3d,0,0,0,0,0,0,0,
eaa8fd0b-ae99-4e96-90b9-8489b2dc6957,100,80,100,72,80,0,85,77.9
ebbf884f-e67b-4ad3-b4ac-17705fd7f254,100,100,90,78,76,64,90,86.6
ed5dd415-e6be-4e34-8e45-4b27a57bccf7,100,100,76,72,72,20,62,75
ee186c97-b2ad-488e-bc5d-c28fffee6ead,85,100,72,72,70,10,60,70.5
f01f0467-257b-4d2a-9233-2d3efd473c0f,95,100,78,74,70,40,0,70.7
f11d2c2e-dff5-42da-bd97-c214fcd77499,100,100,100,78,90,76,80,90.2
f2bc96a2-1ad5-4fd7-9943-0a58120b4b53,100,80,78,78,64,0,70,71.6
f30634ab-4721-4b43-9add-b92b52b82e6e,70,100,80,60,72,0,74,68.1
f4a9d347-d8ca-4c36-bb86-9791602ec081,85,100,76,72,60,0,64,69.8
f76a891e-e7f0-4a8e-9747-e298b1498163,90,100,78,70,72,10,68,73.1
fad1adff-9d96-4270-82f9-107bab38565a,100,60,68,50,60,0,74,61
fc6e230e-c72f-4c12-a33a-d2c5fd8c02fb,100,100,100,85,80,64,60,87.4
fc987db8-56e2-4f5c-8a77-341661540c3e,100,100,74,74,62,0,62,72
fd0d6672-09a4-4463-9ddf-3ca6c6dd8f33,80,100,74,72,66,20,68,71.6
